County,City,ZipCode,Agency,FocusArea,Service,Address
Butts,Indian Springs,30216,"Butts County Historical Society, Inc.",Miscellaneous,Art Conservation/Preservation,1813 S. Hwy. 42
Butts,Jackson,30233,Area Agency on Aging - Southern Crescent - Butts County Senior Center,Miscellaneous,Congregate Meals/Nutrition Sites,580 Earnest Biles Dr.
Butts,Jackson,30233,Area Agency on Aging - Southern Crescent - Butts County Senior Center,Health,Dietary Services,580 Earnest Biles Dr.
Butts,Jackson,30233,Area Agency on Aging - Southern Crescent - Butts County Senior Center,Health,General Recreational Activities/Sports,580 Earnest Biles Dr.
Butts,Jackson,30233,Area Agency on Aging - Southern Crescent - Butts County Senior Center,Basic Needs,Home Delivered Meals,580 Earnest Biles Dr.
Butts,Jackson,30233,Area Agency on Aging - Southern Crescent - Butts County Senior Center,Basic Needs,Senior Center Bus Services,580 Earnest Biles Dr.
Butts,Jackson,30233,Area Agency on Aging - Southern Crescent - Butts County Senior Center,Basic Needs,Senior Centers,580 Earnest Biles Dr.
Butts,Jackson,30233,Butts County Chamber of Commerce,Basic Needs,Chambers of Commerce,625 W. 3rd St.
Butts,Jackson,30233,Butts County Chamber of Commerce,Miscellaneous,Neighborhood Welcoming Services,625 W. 3rd St.
Butts,Jackson,30233,Butts County Chamber of Commerce,Miscellaneous,Regional Economic Development,625 W. 3rd St.
Butts,Jackson,30233,Butts County Chamber of Commerce,Miscellaneous,Specialized Information and Referral * Business Issues,625 W. 3rd St.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Miscellaneous,Agricultural Pest/Disease Control Assistance,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Income,Consumer Education,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Health,Dietary Services,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Miscellaneous,Gardening/Landscaping Instruction,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Education,Leadership Development,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Income,Personal Financial Counseling,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Income,Workshops/Symposiums * Consumer Issues,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Education,Youth Agricultural Programs,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Cooperative Extension Service,Education,Youth Enrichment Programs,576 Ernest Biles Rd.
Butts,Jackson,30233,Butts County Court Service Office,Health,Long Term Case/Care Management,351 E. 2nd St.
Butts,Jackson,30233,Butts County Court Service Office,Basic Needs,Specialized Information and Referral * At Risk Youth,351 E. 2nd St.
